Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      Egz.      
VardasNr1874        PavardeNr1874       10        4         3         5         5         9         4         9         3         5         2         10        2         2         4         4         10        7         
VardasNr1875        PavardeNr1875       8         10        7         2         8         8         3         6         10        4         6         5         6         5         7         7         2         7         
VardasNr1876        PavardeNr1876       7         4         7         10        2         7         6         10        1         7         2         1         3         8         10        3         6         10        
VardasNr1877        PavardeNr1877       9         6         5         7         7         3         5         10        5         6         4         3         4         3         2         3         3         6         
VardasNr1878        PavardeNr1878       4         6         1         8         2         4         2         10        5         4         3         3         4         9         8         5         1         7         
VardasNr1879        PavardeNr1879       4         8         6         8         9         6         5         3         8         8         4         1         5         6         5         5         4         5         
VardasNr1880        PavardeNr1880       10        4         3         6         4         1         8         7         10        3         4         6         10        1         7         4         1         3         
VardasNr1881        PavardeNr1881       5         7         7         4         10        2         9         3         6         5         5         8         2         1         7         2         7         7         
VardasNr1882        PavardeNr1882       3         10        8         1         1         5         4         4         9         6         1         10        2         10        8         4         8         3         
VardasNr1883        PavardeNr1883       2         3         1         4         6         3         9         1         2         4         7         8         1         2         3         1         1         6         
VardasNr1884        PavardeNr1884       7         5         10        9         8         10        9         6         1         6         1         8         6         5         7         3         9         1         
VardasNr1885        PavardeNr1885       5         7         9         3         6         6         3         5         4         4         7         9         9         7         6         9         7         8         
VardasNr1886        PavardeNr1886       3         6         7         4         5         1         4         5         2         9         2         6         7         2         4         7         9         9         
VardasNr1887        PavardeNr1887       4         7         8         4         6         3         7         2         4         5         10        3         1         3         6         7         6         4         
VardasNr1888        PavardeNr1888       9         7         3         9         4         6         8         4         3         4         4         9         4         7         9         3         10        2         
VardasNr1889        PavardeNr1889       4         3         9         7         10        3         3         6         5         3         10        2         9         4         7         9         10        8         
VardasNr1890        PavardeNr1890       9         2         4         5         2         4         1         4         10        5         2         4         1         8         3         10        10        5         
VardasNr1891        PavardeNr1891       9         5         8         8         10        4         4         7         10        7         7         5         9         2         5         8         6         5         
VardasNr1892        PavardeNr1892       6         7         8         2         7         6         4         3         7         3         5         4         10        10        10        2         4         6         
VardasNr1893        PavardeNr1893       2         10        8         4         8         3         4         6         2         10        2         5         2         5         6         6         8         9         
VardasNr1894        PavardeNr1894       2         4         9         2         1         8         3         10        7         1         6         8         3         4         10        7         2         9         
VardasNr1895        PavardeNr1895       6         7         10        7         8         4         7         4         5         3         8         4         1         7         3         6         5         6         
VardasNr1896        PavardeNr1896       3         3         2         10        10        2         8         2         5         1         5         5         8         6         6         3         9         9         
VardasNr1897        PavardeNr1897       4         10        2         6         4         5         4         8         6         6         1         9         6         4         5         9         8         6         
VardasNr1898        PavardeNr1898       9         6         2         8         9         8         1         4         1         4         4         2         6         7         9         7         5         8         
VardasNr1899        PavardeNr1899       9         1         7         2         8         1         6         6         8         10        6         3         7         10        3         7         2         3         
VardasNr1900        PavardeNr1900       1         2         7         2         9         5         3         8         1         9         7         9         5         9         7         9         10        3         
VardasNr1901        PavardeNr1901       7         3         2         2         3         8         10        4         8         8         4         8         5         10        9         2         10        6         
VardasNr1902        PavardeNr1902       8         2         2         7         2         8         6         1         4         5         1         3         1         8         10        2         6         10        
VardasNr1903        PavardeNr1903       7         4         6         9         4         6         10        2         8         7         4         1         4         8         5         9         8         4         
VardasNr1904        PavardeNr1904       2         6         1         4         4         3         3         3         3         6         4         5         4         1         4         2         10        3         
VardasNr1905        PavardeNr1905       2         4         2         6         2         3         2         10        8         4         8         6         7         9         7         10        3         6         
VardasNr1906        PavardeNr1906       10        8         6         10        9         2         3         10        5         9         4         9         10        3         3         10        2         1         
VardasNr1907        PavardeNr1907       10        10        2         9         2         2         10        5         4         1         8         10        9         4         7         3         5         5         
VardasNr1908        PavardeNr1908       8         7         5         7         5         1         10        9         3         10        3         4         1         5         10        1         10        7         
VardasNr1909        PavardeNr1909       7         2         4         2         8         1         9         5         5         10        7         3         4         10        10        4         1         2         
VardasNr1910        PavardeNr1910       2         5         7         8         1         9         2         3         1         9         2         6         6         1         8         2         5         2         
VardasNr1911        PavardeNr1911       9         3         6         10        7         1         2         7         1         2         6         10        2         3         5         3         4         6         
VardasNr1912        PavardeNr1912       5         2         9         7         2         3         7         6         7         6         7         8         1         6         4         10        2         10        
VardasNr1913        PavardeNr1913       1         5         2         8         3         5         10        6         7         3         2         10        9         3         1         10        1         4         
VardasNr1914        PavardeNr1914       9         1         10        4         5         1         3         10        2         5         5         3         9         4         1         10        1         7         
VardasNr1915        PavardeNr1915       3         7         8         10        10        2         1         3         6         3         5         4         10        10        4         10        9         1         
VardasNr1916        PavardeNr1916       4         1         8         8         6         5         9         5         6         2         9         8         9         1         6         1         9         9         
VardasNr1917        PavardeNr1917       7         5         3         8         2         6         6         1         1         7         9         1         7         6         9         9         5         3         
VardasNr1918        PavardeNr1918       4         9         3         5         1         7         1         1         4         4         6         3         7         6         8         6         4         7         
VardasNr1919        PavardeNr1919       6         8         4         4         1         1         6         2         4         1         4         6         5         9         1         2         7         7         
VardasNr1920        PavardeNr1920       10        6         7         2         4         7         6         6         2         10        2         4         6         5         3         9         1         4         
VardasNr1921        PavardeNr1921       8         10        10        7         1         9         5         9         8         4         2         7         3         2         8         4         3         8         
VardasNr1922        PavardeNr1922       9         9         7         8         4         4         9         3         10        6         1         4         2         4         8         3         4         5         
VardasNr1923        PavardeNr1923       3         4         7         8         7         8         5         5         10        4         9         1         8         5         5         7         5         2         
VardasNr1924        PavardeNr1924       4         3         9         7         4         9         5         3         4         4         6         6         4         9         4         3         6         10        
VardasNr1925        PavardeNr1925       9         5         7         10        5         9         7         5         5         2         3         4         9         6         5         4         10        9         
VardasNr1926        PavardeNr1926       7         7         10        9         5         3         2         9         4         9         7         6         7         8         4         3         6         9         
VardasNr1927        PavardeNr1927       1         3         3         4         3         9         2         5         1         8         5         7         1         4         5         9         2         3         
VardasNr1928        PavardeNr1928       7         2         2         6         5         8         3         2         8         9         1         4         8         10        3         6         3         10        
VardasNr1929        PavardeNr1929       4         8         4         3         2         8         4         3         10        6         6         4         6         2         8         6         6         1         
VardasNr1930        PavardeNr1930       7         8         1         10        5         10        9         7         4         8         5         8         9         2         7         9         5         8         
VardasNr1931        PavardeNr1931       3         8         9         8         1         4         1         7         10        9         8         4         7         4         2         5         3         4         
VardasNr1932        PavardeNr1932       3         9         2         2         8         5         1         9         8         2         2         4         10        1         10        2         2         10        
VardasNr1933        PavardeNr1933       2         10        4         9         8         4         10        9         7         7         7         5         5         7         2         1         3         1         
VardasNr1934        PavardeNr1934       2         8         2         5         2         3         3         1         7         4         7         6         1         4         4         2         6         6         
VardasNr1935        PavardeNr1935       1         4         1         10        9         4         10        9         8         7         7         10        4         6         8         4         5         8         
VardasNr1936        PavardeNr1936       10        6         8         4         10        4         9         7         9         9         6         2         1         1         1         1         5         8         
VardasNr1937        PavardeNr1937       8         5         3         3         1         1         2         9         2         9         7         8         9         9         4         4         4         2         
VardasNr1938        PavardeNr1938       7         1         6         9         4         1         5         8         7         8         4         8         4         9         1         3         5         8         
VardasNr1939        PavardeNr1939       2         7         7         6         4         8         4         1         4         2         2         6         5         3         1         3         6         6         
VardasNr1940        PavardeNr1940       8         2         7         10        3         10        4         7         10        10        8         2         3         10        6         4         5         6         
VardasNr1941        PavardeNr1941       6         9         1         9         6         9         7         1         5         1         5         2         5         8         8         9         4         8         
VardasNr1942        PavardeNr1942       9         3         6         5         8         7         7         10        6         6         2         7         4         6         7         2         2         1         
VardasNr1943        PavardeNr1943       9         10        1         6         1         2         9         9         8         7         4         4         9         4         1         3         1         8         
VardasNr1944        PavardeNr1944       2         8         2         1         7         5         6         9         4         1         9         8         1         9         7         7         5         2         
VardasNr1945        PavardeNr1945       6         8         9         2         5         9         10        10        9         3         8         5         7         7         6         4         1         9         
VardasNr1946        PavardeNr1946       7         10        1         3         2         4         1         5         1         5         10        7         1         3         2         1         7         10        
VardasNr1947        PavardeNr1947       7         8         3         6         2         7         2         5         2         8         4         2         10        6         5         4         8         7         
VardasNr1948        PavardeNr1948       2         1         4         10        7         4         3         3         1         4         4         5         6         2         3         2         2         5         
VardasNr1949        PavardeNr1949       3         8         1         2         10        4         4         10        3         4         6         8         7         10        10        9         6         8         
VardasNr1950        PavardeNr1950       5         9         7         3         6         9         2         5         7         10        6         2         3         2         3         8         4         6         
VardasNr1951        PavardeNr1951       2         9         7         5         4         2         3         7         3         2         9         6         4         5         1         2         1         8         
VardasNr1952        PavardeNr1952       4         6         1         8         9         8         10        6         6         10        10        3         5         2         10        10        2         1         
VardasNr1953        PavardeNr1953       9         4         2         7         10        5         7         6         1         9         9         1         1         6         5         2         10        4         
VardasNr1954        PavardeNr1954       3         1         5         8         8         4         5         9         9         6         8         9         4         3         9         10        3         9         
VardasNr1955        PavardeNr1955       3         8         7         4         1         9         2         1         1         1         2         2         9         2         4         2         1         10        
VardasNr1956        PavardeNr1956       7         2         3         4         2         2         7         8         1         9         1         6         8         9         1         2         10        3         
VardasNr1957        PavardeNr1957       9         8         10        10        2         5         9         4         9         4         7         5         6         10        5         5         8         9         
VardasNr1958        PavardeNr1958       10        6         8         3         5         4         6         2         2         9         2         6         9         7         8         8         9         5         
VardasNr1959        PavardeNr1959       7         6         2         1         3         4         7         8         10        2         8         3         9         2         2         8         1         6         
VardasNr1960        PavardeNr1960       7         7         10        2         10        1         1         3         4         6         8         2         4         2         3         8         4         9         
VardasNr1961        PavardeNr1961       5         4         1         8         9         6         5         8         7         8         2         1         6         2         3         3         3         8         
VardasNr1962        PavardeNr1962       2         3         10        9         8         9         7         10        3         5         3         1         1         1         8         5         3         1         
VardasNr1963        PavardeNr1963       1         3         2         1         8         1         7         7         2         2         9         7         2         2         8         8         6         8         
VardasNr1964        PavardeNr1964       4         10        10        4         3         9         3         4         6         7         7         9         9         8         4         3         3         5         
VardasNr1965        PavardeNr1965       6         8         9         5         3         2         4         5         8         4         10        1         2         1         4         6         2         8         
VardasNr1966        PavardeNr1966       1         7         1         9         9         8         2         1         6         6         5         9         10        4         6         4         10        5         
VardasNr1967        PavardeNr1967       9         1         10        6         1         1         7         3         9         10        10        3         4         10        6         7         10        10        
VardasNr1968        PavardeNr1968       10        5         8         8         4         2         7         7         5         10        5         1         9         4         2         9         6         6         
VardasNr1969        PavardeNr1969       10        9         7         8         9         3         1         9         5         4         8         7         5         9         10        8         5         6         
VardasNr1970        PavardeNr1970       5         1         9         4         9         10        6         4         8         10        1         2         2         6         2         3         6         3         
VardasNr1971        PavardeNr1971       8         4         3         3         1         2         1         4         8         6         3         6         4         6         10        3         3         4         
VardasNr1972        PavardeNr1972       1         6         9         1         5         1         1         6         8         4         1         6         9         3         4         5         8         6         
VardasNr1973        PavardeNr1973       10        1         7         2         8         5         7         1         4         9         3         7         3         10        8         1         4         2         
VardasNr1974        PavardeNr1974       5         9         6         3         9         9         8         9         7         3         7         6         3         4         1         5         5         8         
VardasNr1975        PavardeNr1975       8         8         5         6         1         6         6         1         8         2         8         5         7         6         2         1         9         8         
VardasNr1976        PavardeNr1976       1         4         4         5         8         2         9         7         10        7         7         8         4         7         10        4         10        3         
VardasNr1977        PavardeNr1977       8         10        6         2         7         1         5         8         10        5         2         9         7         7         8         1         7         10        
VardasNr1978        PavardeNr1978       10        7         9         1         7         4         4         4         3         8         8         4         6         7         8         9         10        10        
VardasNr1979        PavardeNr1979       1         3         10        10        1         3         8         8         8         9         5         1         2         5         1         5         6         4         
VardasNr1980        PavardeNr1980       5         9         1         9         4         6         7         8         3         1         7         6         8         6         6         5         9         9         
VardasNr1981        PavardeNr1981       6         2         8         7         9         5         8         4         10        4         3         10        1         4         7         7         1         3         
VardasNr1982        PavardeNr1982       6         3         9         5         9         10        5         5         10        7         4         1         2         4         3         2         3         6         
VardasNr1983        PavardeNr1983       10        5         5         1         5         6         8         7         10        5         1         7         4         4         1         8         2         7         
VardasNr1984        PavardeNr1984       2         1         5         2         6         7         3         1         6         6         6         10        7         9         4         3         7         2         
VardasNr1985        PavardeNr1985       5         7         6         9         9         9         9         4         1         5         7         7         4         10        9         9         2         1         
VardasNr1986        PavardeNr1986       5         7         7         3         3         9         5         3         6         10        8         1         5         10        5         10        9         9         
VardasNr1987        PavardeNr1987       9         8         5         9         1         7         9         5         10        4         3         3         7         4         7         9         4         5         
VardasNr1988        PavardeNr1988       8         10        2         7         7         1         10        7         7         8         2         6         5         6         3         2         7         9         
VardasNr1989        PavardeNr1989       4         6         9         4         10        4         10        3         5         7         2         8         1         4         3         9         3         1         
VardasNr1990        PavardeNr1990       6         5         1         8         7         5         9         7         6         3         10        9         9         7         8         7         5         3         
VardasNr1991        PavardeNr1991       9         8         4         2         4         2         1         10        7         9         8         2         3         1         10        1         7         3         
VardasNr1992        PavardeNr1992       3         4         3         6         9         9         4         1         7         9         4         8         5         7         10        5         1         3         
VardasNr1993        PavardeNr1993       8         5         6         4         1         6         4         6         7         1         9         5         5         4         3         3         2         3         
VardasNr1994        PavardeNr1994       1         1         2         7         8         10        7         9         4         1         6         1         4         7         10        9         8         1         
VardasNr1995        PavardeNr1995       3         10        9         10        5         9         7         6         4         2         5         7         4         5         8         9         5         5         
VardasNr1996        PavardeNr1996       1         1         6         10        1         8         5         5         4         3         7         6         1         4         4         5         9         4         
VardasNr1997        PavardeNr1997       4         5         7         2         8         1         1         6         2         8         8         10        1         9         3         3         4         1         
VardasNr1998        PavardeNr1998       8         2         1         3         9         2         9         1         3         4         9         1         7         5         3         2         1         5         
VardasNr1999        PavardeNr1999       2         7         4         5         7         5         8         6         9         7         4         1         5         1         9         2         4         1         
VardasNr2000        PavardeNr2000       5         1         1         7         9         4         2         10        2         5         4         6         5         5         5         6         7         2         
VardasNr2001        PavardeNr2001       7         1         6         7         3         3         6         2         5         8         6         2         2         5         10        8         4         10        
VardasNr2002        PavardeNr2002       1         7         3         6         2         8         8         6         10        2         7         8         7         8         1         6         8         10        
VardasNr2003        PavardeNr2003       1         5         2         5         7         5         4         10        7         7         7         10        10        6         2         9         7         5         
VardasNr2004        PavardeNr2004       1         1         1         2         4         5         5         1         6         10        2         8         3         6         8         7         7         9         
VardasNr2005        PavardeNr2005       2         9         8         5         6         10        9         9         10        6         6         1         7         6         9         9         6         7         
VardasNr2006        PavardeNr2006       9         4         2         10        1         6         4         4         9         3         8         8         8         2         4         10        2         8         
VardasNr2007        PavardeNr2007       8         8         9         5         7         9         5         4         9         7         2         7         8         3         10        8         2         3         
VardasNr2008        PavardeNr2008       6         1         8         4         8         2         5         10        8         7         8         10        10        3         2         5         8         7         
VardasNr2009        PavardeNr2009       7         7         4         1         8         9         9         8         3         6         3         10        4         1         9         3         10        3         
VardasNr2010        PavardeNr2010       5         1         3         1         6         4         7         9         2         6         2         8         1         8         3         5         9         9         
VardasNr2011        PavardeNr2011       3         5         7         4         2         5         5         6         4         5         3         3         7         9         10        5         5         5         
VardasNr2012        PavardeNr2012       7         5         3         7         9         2         7         1         3         4         1         5         2         9         2         7         8         5         
VardasNr2013        PavardeNr2013       10        1         10        4         3         7         6         1         2         1         6         6         4         8         4         3         7         7         
VardasNr2014        PavardeNr2014       1         9         5         8         3         9         6         7         8         6         4         1         8         6         9         10        4         6         
VardasNr2015        PavardeNr2015       8         5         4         4         1         7         9         7         3         4         6         1         4         5         10        6         9         3         
VardasNr2016        PavardeNr2016       2         8         5         9         5         10        2         5         7         1         2         9         4         6         5         8         5         7         
VardasNr2017        PavardeNr2017       7         1         3         1         2         3         3         3         2         6         5         7         4         3         8         9         8         9         
VardasNr2018        PavardeNr2018       5         6         10        5         4         3         5         4         8         3         3         1         4         7         3         6         5         5         
VardasNr2019        PavardeNr2019       1         3         7         4         9         6         4         6         10        6         1         9         4         9         5         8         3         4         
VardasNr2020        PavardeNr2020       2         9         1         7         3         10        7         8         10        9         9         4         9         10        5         4         8         8         
VardasNr2021        PavardeNr2021       4         10        2         10        4         2         3         2         9         4         2         2         6         2         7         2         9         6         
VardasNr2022        PavardeNr2022       5         7         1         2         9         9         1         4         6         6         1         1         3         4         6         10        8         10        
VardasNr2023        PavardeNr2023       10        6         1         2         6         4         2         7         9         3         3         3         5         5         2         3         9         5         
VardasNr2024        PavardeNr2024       3         6         1         2         6         8         5         6         4         10        10        6         1         4         9         6         8         6         
VardasNr2025        PavardeNr2025       4         10        1         10        7         8         8         4         6         6         3         8         2         3         8         6         5         9         
VardasNr2026        PavardeNr2026       1         4         6         5         5         9         5         1         7         2         6         10        4         3         10        5         9         1         
VardasNr2027        PavardeNr2027       10        9         5         10        2         9         6         6         9         6         3         9         1         3         4         2         1         2         
VardasNr2028        PavardeNr2028       7         2         7         7         6         7         5         2         5         5         10        3         8         8         2         2         6         1         
VardasNr2029        PavardeNr2029       2         6         1         7         3         6         5         4         1         10        9         3         4         1         7         10        10        9         
VardasNr2030        PavardeNr2030       8         9         9         2         5         4         6         2         10        2         5         3         1         4         5         10        5         1         
VardasNr2031        PavardeNr2031       1         9         8         2         9         2         6         4         6         10        7         10        7         7         10        9         9         8         
VardasNr2032        PavardeNr2032       3         9         1         4         3         1         6         7         3         7         4         7         8         9         1         7         6         10        
VardasNr2033        PavardeNr2033       3         5         1         6         6         9         5         4         1         6         1         4         3         10        7         6         10        3         
VardasNr2034        PavardeNr2034       6         4         5         4         3         1         9         1         10        9         7         8         5         5         3         8         5         4         
VardasNr2035        PavardeNr2035       2         3         2         5         6         8         2         5         4         3         1         10        4         8         2         6         4         10        
VardasNr2036        PavardeNr2036       7         5         8         6         10        6         2         1         1         7         3         7         3         4         7         6         10        2         
VardasNr2037        PavardeNr2037       3         7         5         7         1         7         8         2         1         1         6         4         2         10        7         7         5         6         
VardasNr2038        PavardeNr2038       10        3         3         6         7         6         7         3         9         10        7         6         7         8         3         9         5         7         
VardasNr2039        PavardeNr2039       10        2         1         7         2         4         6         9         4         10        5         6         2         5         9         8         2         1         
VardasNr2040        PavardeNr2040       2         3         4         8         7         1         3         9         5         9         8         6         10        10        3         2         4         6         
VardasNr2041        PavardeNr2041       10        3         9         10        2         10        5         6         1         7         1         3         2         2         8         8         5         7         
VardasNr2042        PavardeNr2042       2         3         8         5         5         9         7         1         6         10        7         9         3         9         5         6         7         6         
VardasNr2043        PavardeNr2043       1         10        1         4         1         7         2         6         8         5         7         4         7         2         10        5         4         6         
VardasNr2044        PavardeNr2044       10        10        9         4         6         10        7         9         7         5         1         9         10        10        8         2         7         6         
VardasNr2045        PavardeNr2045       7         9         7         3         10        10        2         4         2         1         5         4         6         4         10        2         8         1         
VardasNr2046        PavardeNr2046       2         5         6         6         6         6         5         4         7         6         1         1         9         3         2         10        8         3         
VardasNr2047        PavardeNr2047       9         1         3         7         4         3         4         6         6         5         9         10        8         3         4         2         4         4         
VardasNr2048        PavardeNr2048       2         7         4         1         2         9         3         8         3         8         10        2         6         1         10        5         4         4         
VardasNr2049        PavardeNr2049       4         8         3         3         7         1         9         8         10        6         8         6         7         8         1         8         3         4         
VardasNr2050        PavardeNr2050       5         9         1         3         9         4         2         4         3         5         9         2         6         7         7         3         6         10        
VardasNr2051        PavardeNr2051       8         5         1         9         1         5         3         4         7         2         6         10        10        7         6         8         3         3         
VardasNr2052        PavardeNr2052       10        2         10        1         3         6         6         4         3         7         1         6         10        9         6         9         3         9         
VardasNr2053        PavardeNr2053       8         1         4         7         2         5         6         4         9         5         6         9         7         10        3         10        6         3         
VardasNr2054        PavardeNr2054       9         8         6         5         10        9         9         10        4         3         5         9         3         6         6         4         3         7         
VardasNr2055        PavardeNr2055       6         10        7         1         6         8         10        9         8         10        4         9         10        7         5         3         4         1         
VardasNr2056        PavardeNr2056       1         2         4         9         7         3         9         5         10        5         7         1         4         9         1         3         3         4         
VardasNr2057        PavardeNr2057       3         4         8         6         5         1         1         5         1         3         3         5         7         8         6         8         2         3         
VardasNr2058        PavardeNr2058       1         6         7         1         3         1         9         6         3         1         1         2         4         7         8         3         4         1         
VardasNr2059        PavardeNr2059       5         5         5         7         1         5         8         8         8         8         2         7         2         8         6         3         8         9         
VardasNr2060        PavardeNr2060       10        10        3         6         9         7         2         8         5         9         1         9         2         8         3         8         2         1         
VardasNr2061        PavardeNr2061       6         8         4         9         9         5         5         3         9         6         2         3         1         3         3         2         2         9         
VardasNr2062        PavardeNr2062       1         10        10        6         2         3         6         3         3         3         9         7         2         10        9         8         7         2         
VardasNr2063        PavardeNr2063       10        7         9         8         5         2         7         1         4         4         1         2         10        6         5         3         9         8         
VardasNr2064        PavardeNr2064       7         6         5         2         3         3         3         4         8         3         5         5         10        6         8         3         9         7         
VardasNr2065        PavardeNr2065       9         5         8         4         2         6         6         10        8         10        1         2         5         7         1         9         9         6         
VardasNr2066        PavardeNr2066       4         3         8         6         4         7         10        9         9         6         8         9         1         7         2         5         7         8         
VardasNr2067        PavardeNr2067       4         9         8         5         5         2         9         1         1         9         9         9         3         10        10        8         5         8         
VardasNr2068        PavardeNr2068       2         9         5         8         9         10        2         2         9         10        8         3         10        4         10        7         7         2         
VardasNr2069        PavardeNr2069       7         5         2         7         2         2         7         9         6         4         7         1         10        10        5         7         3         1         
VardasNr2070        PavardeNr2070       10        2         3         9         4         1         2         3         9         8         10        2         2         2         1         9         8         4         
VardasNr2071        PavardeNr2071       1         2         5         2         4         2         10        6         4         2         1         6         10        5         2         6         8         1         
VardasNr2072        PavardeNr2072       5         4         4         3         3         4         1         4         10        6         7         9         1         7         6         5         1         5         
VardasNr2073        PavardeNr2073       3         6         4         1         8         8         9         3         6         4         4         2         1         7         8         9         6         5         
VardasNr2074        PavardeNr2074       3         9         2         7         1         1         6         9         10        4         3         5         5         10        8         8         4         5         
VardasNr2075        PavardeNr2075       6         10        9         5         2         9         4         7         1         1         3         8         4         9         1         8         4         3         
VardasNr2076        PavardeNr2076       7         4         5         3         1         3         3         3         5         2         10        10        4         10        5         3         9         3         
VardasNr2077        PavardeNr2077       3         4         9         8         5         6         2         10        5         4         5         7         9         10        8         7         2         1         
